epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,589.084,2.92843,3.24543,3.84645,0.04631,0.12177,0.0222,0.00478,3.21284,7.71806,4.51637,0.000663768,0.000663768,0.000663768
2,1176.04,2.23147,2.69516,2.87389,0.22979,0.46863,0.22572,0.08039,2.00523,4.18877,2.87551,0.00126458,0.00126458,0.00126458
3,1739.81,1.97109,2.42572,2.54152,0.32599,0.46125,0.32587,0.10941,1.90762,2.75038,2.77322,0.00179939,0.00179939,0.00179939
4,2338.82,1.84012,2.23431,2.39912,0.24341,0.32103,0.22376,0.0681,2.21,2.90616,3.02346,0.001703,0.001703,0.001703
5,2941.71,1.76769,2.09388,2.31041,0.45638,0.54523,0.47461,0.18335,1.82411,2.32127,2.59599,0.001604,0.001604,0.001604
6,3487.62,1.66556,1.94592,2.22152,0.53168,0.60886,0.54167,0.26323,1.74427,2.11444,2.48352,0.001505,0.001505,0.001505
7,4038.52,1.6064,1.82006,2.16726,0.44769,0.39114,0.36618,0.1253,1.94344,3.2858,2.58597,0.001406,0.001406,0.001406
8,4587.56,1.58231,1.74934,2.13615,0.72925,0.56827,0.64338,0.29915,1.7429,1.93658,2.40568,0.001307,0.001307,0.001307
9,5136.16,1.5442,1.68652,2.10294,0.75878,0.65314,0.70804,0.36819,1.56903,1.63225,2.32215,0.001208,0.001208,0.001208
10,5685.05,1.47625,1.59311,2.03962,0.6465,0.62761,0.63237,0.29234,1.64757,1.73781,2.33284,0.001109,0.001109,0.001109
11,6249.03,1.47842,1.4424,2.20775,0.76111,0.72893,0.75186,0.39703,1.55347,1.39856,2.2722,0.00101,0.00101,0.00101
12,6966.57,1.39088,1.31323,2.10993,0.80154,0.72694,0.76507,0.40258,1.48679,1.35658,2.1855,0.000911,0.000911,0.000911
13,7542.46,1.3506,1.27753,2.07663,0.79575,0.78229,0.78414,0.42423,1.48081,1.25766,2.17986,0.000812,0.000812,0.000812
14,8235.46,1.33621,1.22222,2.06111,0.82364,0.74539,0.76781,0.42918,1.47357,1.29665,2.15442,0.000713,0.000713,0.000713
15,9044.42,1.29493,1.16925,2.02221,0.85038,0.76015,0.79398,0.45343,1.46174,1.2836,2.1341,0.000614,0.000614,0.000614
16,9850.11,1.24789,1.12297,1.97857,0.79151,0.77491,0.77402,0.4224,1.49101,1.31894,2.17295,0.000515,0.000515,0.000515
17,10656.7,1.22648,1.09575,1.95874,0.83327,0.76753,0.79191,0.4279,1.51752,1.2554,2.14723,0.000416,0.000416,0.000416
18,11440.3,1.19864,1.0564,1.91596,0.82175,0.77122,0.78459,0.4564,1.42236,1.19027,2.06343,0.000317,0.000317,0.000317
19,12231.1,1.16052,1.0251,1.88537,0.81245,0.75646,0.77755,0.44178,1.46504,1.24073,2.12491,0.000218,0.000218,0.000218
20,13011.6,1.14089,1.02508,1.86446,0.82817,0.77491,0.79222,0.46429,1.4154,1.17861,2.09013,0.000119,0.000119,0.000119
