epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,737.82,1.38223,2.3909,2.10775,0.47167,0.49077,0.46227,0.1632,1.98982,2.69518,2.67067,0.000663768,0.000663768,0.000663768
2,1524.47,1.50256,1.6613,2.18582,0.5265,0.56827,0.50951,0.21332,1.8178,2.10016,2.83522,0.00119872,0.00119872,0.00119872
3,2309.85,1.50099,1.40363,2.17748,0.75296,0.6679,0.73028,0.33392,1.81801,1.52362,2.53086,0.00160168,0.00160168,0.00160168
4,3080.1,1.44049,1.2725,2.10237,0.79007,0.67159,0.72775,0.36152,1.72164,1.26288,2.36978,0.001406,0.001406,0.001406
5,3654.16,1.3675,1.14836,2.02712,0.82576,0.71702,0.77916,0.39988,1.64592,1.4,2.27408,0.001208,0.001208,0.001208
6,4230.34,1.24803,1.05946,1.92691,0.81625,0.75646,0.77472,0.41905,1.53206,1.19028,2.18906,0.00101,0.00101,0.00101
7,4791.89,1.15676,0.98316,1.81824,0.82309,0.73063,0.78175,0.4494,1.4648,1.17025,2.07111,0.000812,0.000812,0.000812
8,5356.12,1.08373,0.9128,1.74077,0.85719,0.77521,0.83295,0.46843,1.41528,1.06646,2.03133,0.000614,0.000614,0.000614
9,5922.53,1.02172,0.85033,1.69367,0.89616,0.80812,0.86136,0.50066,1.3553,0.99303,1.99959,0.000416,0.000416,0.000416
10,6488.49,0.96322,0.797,1.64367,0.87005,0.81528,0.84738,0.5101,1.29867,0.91531,1.89549,0.000218,0.000218,0.000218
